CustomerID,Age,Balance,Transactions,CreditScore,Tenure,Income,NumProducts,HasCreditCard,IsActiveMember,Churn
8d7b122e-919d-400a-84c5-9852cc701f12,37,34815.96,309,567,17,140475.55,2,1,0,0
28ff1422-9fae-46fd-a239-8d11efd7baa2,28,78962.0,71,663,26,61285.84,4,1,1,1
7cee4309-8cbe-465f-89fc-c0eebe3e4ff7,49,16832.36,485,383,3,197354.69,1,1,1,0
ce2b7535-324a-44c2-8be9-ebbe318afb6d,73,15641.59,395,409,8,59547.22,4,1,1,0
30182d04-d987-4c40-b92b-e72cd38d19b2,66,35434.3,13,335,5,50620.78,4,0,1,0
4769defc-1cdd-41b7-8ab3-03143e06719a,41,15577.04,471,330,23,147201.6,2,1,1,0
870f977f-ffd3-44b7-a6bb-0499eda0300f,55,78077.55,128,537,24,132319.73,4,1,1,1
a10ec517-0503-4a10-b098-ec8a1943aea4,18,46012.45,479,789,25,148733.56,1,1,1,0
855b61d9-c886-481d-ae2b-99963a70eced,30,34771.53,18,670,12,159868.87,3,1,0,0
f6bbbcf0-611c-4f2e-905c-299b47cdb721,72,84026.8,337,331,9,189275.46,2,0,0,0
5201c1b7-47f1-43cf-815f-079c7a4bfef9,33,65639.9,332,727,6,170881.48,3,0,0,0
01b7364e-e2ca-40fb-a51e-5d809ba7e709,33,32890.49,196,486,25,112493.13,4,0,0,1
4a3dd741-29f7-49d4-a182-e7563f3c0b72,54,51063.82,77,487,26,176529.09,2,1,1,0
fd8d6670-6a78-4079-abe3-ae7f0ef12d9d,42,74186.1,187,785,6,173846.62,1,1,0,0
9c244b8a-fc35-48af-9be8-f356bd6884b3,62,40715.02,208,705,29,123790.52,3,1,1,0
84515de1-9451-4a95-a77b-2634ea4c1b93,31,25354.56,394,686,27,80746.46,3,0,0,0
04b9ac8a-fab7-45ac-86d8-42f655cc3f7b,79,98853.31,127,586,21,177332.92,3,0,1,0
db6e0090-944f-4b2a-85c4-564d442e1aed,62,87079.84,114,575,20,155047.84,2,1,0,0
afec5596-164a-42c6-97ef-481605dec140,30,9468.27,58,627,18,190730.53,3,1,1,0
