Feature,Importance
InactiveWithCCRisk,0.08528079
CreditScoreGroup_Good,0.07147369
AgeGroup_51-60,0.061642297
ProductDensity,0.060810175
AgeGroup_18-30,0.052582316
AgeGroup_41-50,0.049807742
Transactions,0.048453685
Income,0.048028406
CustomerValue,0.04770835
Balance_x_IsActive,0.04477727
Tenure,0.04410016
Balance_x_Products,0.04198796
Balance,0.03785915
NumProducts,0.036019303
Age,0.034564856
TransactionsPerMonth,0.03407938
CreditScore,0.032556716
IsActiveMember,0.024604658
ProductBalanceRisk,0.024551446
BalanceToIncome,0.02394661
BalancePerTransaction,0.021538727
HasCreditCard,0.013856125
AgeGroup_31-40,0.013249787
IncomeGroup_High,0.012769179
ValueSegment_Plus,0.012765918
IncomeGroup_Medium,0.011316247
CreditScoreGroup_Medium,0.009669047
ValueSegment_Standard,0.0
IncomeGroup_Very High,0.0
IncomeGroup_Very Low,0.0
ValueSegment_Premium,0.0
IncomeGroup_Low,0.0
CreditScoreGroup_Excellent,0.0
AgeGroup_nan,0.0
AgeGroup_60+,0.0
CreditScoreGroup_Low,0.0
HasBalance,0.0
LoyalCustomer,0.0
NewCustomer,0.0
